Configuration,Epoch,Training Precision@5,Validation Precision@5
Training warp-0.005-80,6,0.27387499809265137,0.09287772327661514
Training warp-0.005-80,7,0.2745172679424286,0.09279665350914001
Training warp-0.005-80,8,0.2776665985584259,0.09416646510362625
Training warp-0.005-80,9,0.2781808376312256,0.09435851126909256
Training warp-0.005-80,10,0.2795250415802002,0.09438838064670563
Training warp-0.01-20,1,0.27096468210220337,0.09165085107088089
Training warp-0.01-20,2,0.2767448425292969,0.09353276342153549
Training warp-0.01-20,3,0.2815883457660675,0.09507115930318832
Training warp-0.01-20,4,0.28026971220970154,0.09449506551027298
Training warp-0.01-20,5,0.2808436453342438,0.09475324302911758
Training warp-0.01-20,6,0.2818358838558197,0.09506475925445557
Training warp-0.01-40,1,0.25616317987442017,0.0865875780582428
Training warp-0.01-40,2,0.265720009803772,0.08986921608448029
Training warp-0.01-40,3,0.2700706124305725,0.09108968079090118
Training warp-0.01-40,4,0.27801650762557983,0.09419847279787064
Training warp-0.01-40,5,0.2829197645187378,0.09584356844425201
Training warp-0.01-40,6,0.28012460470199585,0.09520132839679718
Training warp-0.01-40,7,0.2834019958972931,0.09590330719947815
Training warp-0.01-40,8,0.2817910611629486,0.0956173837184906
Training warp-0.01-40,9,0.284912645816803,0.09671410918235779
Training warp-0.01-40,10,0.2868542969226837,0.09720058739185333
Training warp-0.01-80,1,0.2643373906612396,0.08968784660100937
Training warp-0.01-80,2,0.27346962690353394,0.09255339950323105
Training warp-0.01-80,3,0.2796850800514221,0.09477884322404861
Training warp-0.01-80,4,0.27565664052963257,0.09354984015226364
Training warp-0.01-80,5,0.27762818336486816,0.09368851780891418
Training warp-0.01-80,6,0.2782810628414154,0.09432436525821686
Training warp-0.05-20,1,0.2857852876186371,0.09494953602552414
Training warp-0.05-20,2,0.3082979619503021,0.10207609832286835
Training warp-0.05-20,3,0.32275375723838806,0.1066293939948082
Training warp-0.05-20,4,0.3331128656864166,0.11009453237056732
Training warp-0.05-20,5,0.34509140253067017,0.1143043115735054
Training warp-0.05-20,6,0.3524228036403656,0.11680072546005249
Training warp-0.05-20,7,0.358015239238739,0.11804681271314621
Training warp-0.05-20,8,0.36470866203308105,0.12040241062641144
Training warp-0.05-20,9,0.36917662620544434,0.12207311391830444
Training warp-0.05-20,10,0.3759745955467224,0.12365204840898514
Training warp-0.05-40,1,0.2920711934566498,0.09580515325069427
Training warp-0.05-40,2,0.3231847584247589,0.10638829320669174
Training warp-0.05-40,3,0.3441760838031769,0.11239465326070786
Training warp-0.05-40,4,0.36016812920570374,0.11744938045740128
Training warp-0.05-40,5,0.37381741404533386,0.12208803743124008
Training warp-0.05-40,6,0.3830307424068451,0.1252053827047348
Training warp-0.05-40,7,0.3902426064014435,0.12685899436473846
Training warp-0.05-40,8,0.39783430099487305,0.12951330840587616
Training warp-0.05-40,9,0.40386417508125305,0.13085752725601196
Training warp-0.05-40,10,0.40950992703437805,0.13207374513149261
Training warp-0.05-80,1,0.3069067895412445,0.09911024570465088
Training warp-0.05-80,2,0.34460705518722534,0.111088827252388
Training warp-0.05-80,3,0.3747178316116333,0.12094224244356155
Training warp-0.05-80,4,0.39281371235847473,0.1251242756843567
Training warp-0.05-80,5,0.4051550328731537,0.12859368324279785
Training warp-0.05-80,6,0.4138733148574829,0.1303582489490509
Training warp-0.05-80,7,0.4216655492782593,0.13212069869041443
Training warp-0.05-80,8,0.42547211050987244,0.1339108645915985
Training warp-0.05-80,9,0.4326968491077423,0.1363283395767212
